haplogroup	example_accession_1	example_accession_2
H3av	JQ324687	JQ324566
H4	JN646688	JQ701843
H4a	JX152997	
H4a1	AY495123	EF177440
H4a1a	HQ860291	EU051827
H4a1a1	AY495095	JQ703368
H4a1a1a	AY495178	JQ703892
H4a1a1a1a	EU200347	JQ324699
H4a1a1a1a1	AY495186	EF609015
H4a1a1a2	JQ703532	DQ489518
H4a1a1a3	EU719211	GU123040
H4a1a1a4	JQ324913	JQ324855
H4a1a2a	JQ703542	EU636711
H4a1a2a1	JQ704851	JQ702613
H4a1a_T195C!	JQ704883	
H4a1a3	JQ703398	
H4a1a3a	JQ702886	EF556191
H4a1a4a	JQ703134	JX297159
H4a1a4b	HQ659689	EU664586
H4a1a4b1	JX153972	JQ703000
H4a1a4b2	JQ702546	JQ703210
H4a1a5	JQ704039	
H4a1c1	JQ703630	
H4a1c1a	JQ702631	AY738950
H4a1c2	KF305642	
H4a1d	DQ523646	JQ704648
H4a2	JQ702936	JQ703939
H4b	JQ702580	AM263185
H4b1	EU600352	EU600350
H4c1	JQ705112	JQ702960
H4d	EU935460	JX153118
H5'36	JQ324611	GQ983078
H5	AY495174	JQ703257
H5a	GQ983068	GQ983060
H5a1	AY195747	HQ674629
H5a1a	HQ659693	JQ705767
H5a1b	AY495167	AY495176
H5a1c1a	HQ663878	JQ702653
H5a1c2	JQ705790	
H5a1d	JQ705035	AY495171
H5a1e	AY339431	JQ703620
H5a1f	JQ703738	JQ704730
H5a1g1	JN008723	EU294323
H5a1g1a	JQ704886	JQ703513
H5a1g2	JQ703820	JQ705415
H5a1h	JQ702502	
H5a1i	JX128043	JQ705787
H5a1j	EU372627	JQ704060
H5a1k	AY495170	GQ983064
H5a1_T152C!	GQ334692	
H5a1m	JQ705998	JQ705412
H5a1n	JQ704324	HM103356
H5a1_T16093C	GQ983075	
H5a1p	FJ966912	HQ677908
H5a1q	JQ704766	JX128066
H5a2	JQ704415	AY738952
H5a2a	JQ705582	JX128085
H5a3	KC554002	GQ983105
H5a3a	JQ704246	JQ704372
H5a3a1	JQ324706	JX297188
H5a3a_T152C!	GQ983069	
H5a3a2	GQ983073	JQ701896
H5a3a3	JX153276	AY495175
H5a3b	JQ703824	JQ703800
H5a4	JQ703731	
H5a4a1	GQ983092	GQ983058
H5a4a1a	JQ702083	
H5a5	JX153318	JQ702571
H5a_T152C	JQ324545	GQ983056
H5a6	JQ705812	GQ983096
H5a6a	JQ704237	
H5a7	JQ704396	GQ983106
H5a8	JX153844	AY339430
H5a9	JX153930	JX128047
H5b	NA20533	JX128050
H5b1	FJ794473	JQ705511
H5b2	HQ700378	JQ704264
H5b3	JQ702345	EU915472
H5b4	JF795326	GQ983088
H5b5	JX128049	JX153042
H5c	JQ702402	JQ705748
H5c1	JQ705824	
H5c1a	JQ705569	
H5c2	JQ703627	
H5d	JQ704498	GQ983076
H5e	JQ324661	
H5e1	KF830849	
H5e1a	EU677750	JQ704706
H5e1a1	JX128081	JX128091
H5e1b	HM636849	GQ983082
H5f	GQ983074	GQ983099
H5g	JQ704716	HQ661100
H5h	JQ703405	JQ704341
H5j	JQ704386	JQ324861
H5k	AY495173	HQ864470
H5m	JQ702895	JQ702583
H5n	GQ983109	GQ983079
H5p	EF420250	AY495172
H5'36_C16192T	JQ703228	
H5q	JQ703278	JQ703632
H5'36_T16311C!	JQ324596	
H5r	GQ983083	GQ983107
H5r1	FJ384434	GQ983103
H5r2	GQ983061	GQ983062
H5s	JQ703547	JQ703266
H5t	HQ661871	GQ983098
H5u	EF661003	
H5u1	JX153503	JX128090
H5'36_G709A	JX153021	
H5v	JX153984	EF660986
H36	FJ348166	FJ348151
H6a	HM765475	
H6a1a	JQ324601	JQ704299
H6a1a1	JQ701925	AM263177
H6a1a1a	EF556185	JQ702509
H6a1a2a	JQ702107	JQ704333
H6a1a2b	JQ324568	
H6a1a2b1	JQ703345	JQ701963
H6a1a3	HQ730608	JQ703028
H6a1a3a	JQ703205	
H6a1a4	GU123020	JQ704472
H6a1a5	HQ405756	HM019517
H6a1a6	JQ704195	JQ702189
H6a1a7	HG01489	JQ324730
H6a1a8a	JQ705660	JQ704469
H6a1a9	JX153292	JQ704380
H6a1a10	JQ702606	JX297423
H6a1b	JQ704592	JQ701955
H6a1b1	EF556178	
H6a1b2	JQ704495	JQ705873
H6a1b2a	HQ658481	JQ704376
H6a1b2b	JQ703391	
H6a1b2c	JQ704239	
H6a1b2d	JQ324676	EU154342
H6a1b2e	JX153784	JQ705659
H6a1b3	JX307108	JQ704651
H6a1b3a	JQ702830	JQ704543
H6a1b3b	HQ659687	
H6a1b4	JQ703321	JQ704270
H6a2	JQ703232	JQ704515
H6a2a	JQ704208	
H6b	JQ702285	
H6b1	AY738956	JQ703353
H6b2	FJ348203	JX153090
H6c	FJ652065	JN601518
H6c1	JX307099	JX307110
H7	AY495120	JQ703313
H7a	AY495090	JQ704362
H7a1	EF177426	DQ862537
H7a1a	JQ704518	EF660947
H7a1b	JQ703217	JQ705420
H7a1c	JQ704524	JQ705679
H7a1d	JX153387	JX153331
H7a2	JQ703233	JQ704171
H7b	JQ703372	JQ704360
H7b1	EU600357	AY738966
H7b2	JQ702056	JX153372
H7b2a	JQ703275	
H7b3	EF581833	DQ112945
H7b4	JQ704850	
H7b5	AY495104	HQ658454
H7b6	JQ704428	
H7c1	EU600355	AY738965
H7c2	JQ704605	JQ704714
H7c3	JQ703177	HQ658573
H7c4	NA20537	JQ702277
H7c5	KC257398	GQ422375
H7c6	JX153913	JQ703456
H7d	JQ704712	
H7d1	JQ705880	JQ704506
H7d2	JQ704711	
H7d2a	JQ702337	JQ705230
H7d3	JQ324573	
H7d3a	JQ703288	AY495108
H7d4	JF262142	JQ701917
H7d5	JN035288	JQ705045
H7e	HQ267514	JQ703437
H7f	JQ704377	JQ704646
H7g	JQ703479	
H7h	JQ703495	JQ702766
H7h1	JX152892	AY738964
H7i	JF795008	
H7i1	JX153705	JX153277
H8a	EU600360	
H8a1	AY738957	JF960238
H8b	JQ324881	
H8b1	FJ147310	KF148188
H8_C114T_T152C!	EF177429	
H8c	JQ702865	JQ703247
H8c1	JQ701943	
H8c2	JQ735909	AY195758
H31	EF660914	JN009620
H31a	JQ028728	JQ704510
H31b	JQ703940	JQ702697
H11	JQ703684	
H11a	JX152992	GU945760
H11a1	JQ703259	JQ703453
H11a2	GU949563	JQ703175
H11a2a	JQ705580	JQ704395
H11a2a1	EF545566	JQ703451
H11a2a2	JQ703071	JQ705954
H11a2a3	JX306646	FJ705060
H11a3	JQ703235	HQ257449
H11a4	HQ659686	
H11a5	GU592038	JQ703949
H11a6	JQ705740	NA12873
H11a_T152C!	JQ703253	HQ707396
H11a7	JQ703733	KF765775
H11a8	JQ705643	JX153476
H11b1	JQ704286	JQ704081
H12	EF660955	DQ341083
H12a	AY738994	JX153458
H91	JQ703303	NA20800
H108	JQ324697	JX154006
H_T152C	JQ703798	
H9	AY713978	
H9a	AY738969	JQ324810
H32	DQ523619	EF660931
H46	AY495140	
H46a	JQ703070	JQ705005
H46b	KC553988	
H52	JQ703349	EU744541
H69	KC257357	AY495136
H103	HM470002	JX153034
H107	JX153071	HM765464
H10	JQ701849	EU156036
H10a	KC257394	AY495101
H10a1	HM021152	KF056318
H10a1a	JQ704287	AY738970
H10a1a1	EU073971	JQ704452
H10a1b	JQ703237	JQ704531
H10b	JQ701860	AY495145
H10b1	JQ704573	AY495093
H10c	JQ704955	
H10c1	GU984044	JQ704295
H10d	JQ703504	JQ704561
H10_T16093C	JQ703539	JQ705866
H10e	JQ704209	JQ705702
H10e1	JQ703002	JQ705937
H10e1a	JQ703645	JQ704387
H10e2	GU569076	HM101252
H10e3a	JQ702010	JQ702599
H10f	JQ703010	
H10g	GU122976	
H10h	JQ702818	JQ702272
H13a1a	AY495107	JQ705098
H13a1a1	JQ704682	JQ705399
H13a1a1a	AY495129	JQ706004
H13a1a1b	JQ704234	JQ703386
H13a1a1c	AM263191	
H13a1a1d	JQ703808	
H13a1a1d1	JQ704841	HG00324
H13a1a1e	JQ702022	JQ703421
H13a1a2	AM263186	
H13a1a2a	EU370982	JQ703208
H13a1a2b	EU600347	
H13a1a3	KC911290	JQ703193
H13a1a4	FJ560455	
H13a1a5	JQ705726	
H13a1a6	JQ704176	
H13a1b	HM103355	HG01173
H13a1c	JN712772	KF889440
H13a1_T152C!	EU597515	
H13a1d	JX153573	AM263187
H13a2a	KC577357	KC911335
H13a2a1	KC911369	KC911458
H13a2b	JX153617	
H13a2b1	JQ701816	EF660948
H13a2b2	HQ593813	
H13a2b2a	JF828090	KC911361
H13a2b3	JQ705524	
H13a2b4	HQ593810	KC911469
H13a2b5	HQ658464	JX153198
H13a2c	KC911338	
H13a2c1	JQ703878	AM263190
H13b	AM263188	
H13b1	EF660956	
H13b1_A200G	GU228506	
H13b1a	JQ704111	EU052289
H13b1b	NA20771	JQ704147
H13b2	JQ704313	KC911454
H13c1	JQ703657	HG00233
H13c1a	KC911462	EF660920
H13c2	KC911276	HQ234355
H14a	GQ983090	AM263183
H14a_T146C!	JQ705084	
H14a1	EF556163	
H14a2	JQ702157	
H14a2a	JQ704161	JQ705233
H14a2b	JQ703871	JQ702283
H14a2c	JX153559	JN609592
H14b	AM263182	JQ704798
H14b1	JQ324608	JQ324547
H14b2	KC911300	
H14b2a	JQ704795	
H14b3	KC911545	JQ702840
H14b4	JX153284	JQ704254
H15	KC911292	
H15a	AY495146	
H15a1	JQ703079	JQ704504
H15a1a	JQ704364	
H15a1a1	JQ701892	AY713995
H15a1b	JQ324533	KC911422
H15b	JQ704870	AY738960
H15b1	NA20798	FJ384438
H15b2	JN651417	JF901940
H16	JQ704409	JQ703108
H16_T152C!	EF609012	AY495135
H16a	EU170619	NA12340
H16a1	AY495133	AY495138
H16c	JQ702103	
H16d	JN037470	AY495127
H16b	EF472971	EU715287
H16e	JX153946	JX153305
H17	AY495150	JQ704083
H17a	JQ324832	JQ702119
H17a1	JQ703188	JQ704404
H17a2	AY495154	
H17b	JX153880	JQ705146
H17c	JQ704457	
H27	JQ705366	HQ658132
H27_T16093C	JQ705258	JQ704331
H27a	EU007878	GU123038
H27b	FJ348192	FJ348179
H27c	JQ703092	
H27d	JQ702961	JQ703107
H27e	JQ704541	JQ705074
H27f	JQ704644	JX153431
H18	JQ704443	JQ705490
H18b	JX154019	JQ704205
H19	KC911570	KC911539
H20	JX153278	
H20a1	KC911430	HQ436412
H20a1a	EF556187	JQ703578
H20a2	JX153059	JX153027
H20b	EU600331	EU600334
H20c	HG00143	JQ324684
H21	AM263178	
H23	GU122977	JQ794835
H24	JQ324553	HM589043
H24a	JQ705260	JQ703982
H24a1	JQ703898	HM625710
H24a2	JQ705486	
H24b	JQ324875	JQ704672
H25	EF556189	
H26	JQ703239	JQ702217
H26a	JN415471	
H26a1	EU684000	EF532800
H26a1a	JQ702037	
H26a1a1	JQ703417	HG00133
H26a1b	JX152941	HM625708
H26b	EU600338	HM775971
H26c	JQ704110	JQ703097
H28	DQ523654	
H28a	EU670874	JQ705312
H28a1	JQ704416	
H28a2	JF298814	JX153255
H29	JQ705134	
H29a	EU600335	EU600343
H29b	JQ704540	EF660925
H30	EF556162	
H30a	JQ704227	JQ703004
H30b	JQ704389	
H30b1	HQ315686	JQ324587
H33	EU600336	JQ702229
H33a	JQ702297	HM765469
H33b	EU600341	JQ703596
H33c	KC618506	JX153043
H_C16291T	JQ705818	
H34	EU007846	AY738968
H64	JQ702918	
H85	JQ704251	HQ699439
H35	JQ703157	JQ703287
H35a	AY495316	JQ702256
H39	AY339402	EU677425
H39a	JQ702834	
H39a1	JQ704461	
H39b	JQ703325	JQ705710
H39c	JQ704325	JX153830
H40	JQ704876	
H40a	FJ985851	FJ788098
H40b	JQ702933	JQ702924
H41a	JQ702060	FJ348209
H42	JQ704132	
H42a	JQ324628	
H42a1	JQ324734	JQ324682
H42a2	JX153894	JX153511
H43	AY495114	AY495098
H44a	JQ704024	JQ703701
H44a1	HM355887	
H44b	JQ705692	JQ704290
H45a	JQ705232	JQ705128
H45b	JQ703821	JQ705144
H47	GU123005	AY738959
H47a	JQ705143	JQ702052
H48	HQ676807	KC257382
H49	HQ660082	JQ704535
H49a	EU131366	JQ702841
H49a1	JQ702985	
H49a2	JQ702889	
H49b	JQ704556	
H50	JQ703327	JQ704577
H51	JQ705176	JQ324544
H51a	JQ703369	JQ704144
H53	EU597538	JQ324556
H54	JQ704987	FJ188715
H55a	JQ703111	GQ902958
H55_A153G	JQ702906	
H55b	JQ705203	JQ704460
H56	JQ702073	JQ703478
H56a	JQ705859	
H56b	JQ703350	
H56c	HQ287897	JQ704371
H56d	NA20582	KC257389
H57	JQ704677	KC911474
H58	JQ703264	
H58a	JQ324788	JQ702375
H59	JQ701910	
H59a	JQ704027	
H60a	JQ705583	JQ704493
H61	AY495185	JQ702768
H61a	JQ703804	KC257403
H62	EF609014	JQ703306
H63	JQ704149	JQ704491
H63a	JQ704853	
H65	HM625709	JQ703909
H65a	GU592025	
H66	KC911282	JN415472
H66a	JQ705407	NA12842
H66a1	JQ703455	JQ703181
H67	JQ704151	
H67a	JQ702448	FJ348189
H70	JQ704792	AY738998
H71	JQ704813	JQ703155
H72	JQ704835	JQ703178
H73	JQ702419	
H73a	JN202547	JQ702443
H73a1	EU282416	HM625697
H74	JQ324578	
H75	JQ703482	
H76	JQ705450	HQ287896
H76a	JQ704521	JX153108
H77	JQ701996	
H78	EU600333	JQ704137
H79	JQ702218	JQ701998
H79a	JQ705299	JQ702589
H80	EF493867	JQ705682
H81	JQ324727	
H81a	JQ704831	
H82	JQ702080	
H83	JQ705403	JQ703310
H86	JX153022	JQ324603
H87	JQ705040	JQ324534
H88	KC553984	
H89	KC553989	JQ703454
H90	KC554018	
H92	EU600340	NA20527
H93	JQ704394	NA20502
H94	NA19750	JQ705893
H95	HQ593807	
H95a	KC964603	JQ703248
H96	KC810015	JQ705172
H100	HQ659700	HM625681
H101	KC911463	KC911349
H102	JQ703658	
H104	JQ324570	EU600339
H104a	JX153176	JX153822
H105	JX153454	JN573371
H105a	JQ324820	
H106	JX153097	JQ701959
R1a	KC985149	KC985147
R1a1	KC985159	HQ602771
R1a1a	JQ705561	AY714045
R1a1a1	EU545437	
R1a1a1a	EF222243	EF222244
R1a1a2	GU451313	JQ702484
R1a1b	HM030522	HM852892
R1a1c	KC985148	KC985151
R1b	KC985165	
R1b1	JQ703633	HM996895
R2	KC911379	KC911319
R2_T13500C	KC911374	
R2_T13500C_T195C!	AY714007	
R2a	JX155266	JX155268
R2b	JX152991	
R2b1	EF556167	HM852870
R2c	JX155271	JX155269
R2d	KC911337	KC911627
J1b	KC911521	
J1b1a1	AY714035	JQ705093
J1b1a1a	FJ213450	NA12282
J1b1a1b	AY495233	AY495236
J1b1a1c	AY495231	HQ543056
J1b1a1d	JX153487	JQ705588
J1b1a1_T146C!	JQ797761	
J1b1a1e	HM856621	KC911404
J1b1a2a	JQ797762	HM852779
J1b1a2b	JQ797763	JQ797764
J1b1a3	EF660916	KC911610
J1b1b1	KC911496	JQ797765
J1b1b1a	JQ797766	EF397562
J1b1b1b	JQ797769	JF939049
J1b1b1c	KC911590	JQ797768
J1b1b2	JQ703656	JQ797770
J1b1b3	AY714033	JX153479
J1b2	EF556169	DQ282488
J1b2a	JQ702001	JQ797771
J1b3	KC911407	
J1b3a	HM594676	EF583177
J1b3b	JQ797775	
J1b3b1	KC911307	KC911461
J1b4	JQ797776	
J1b4a1	JN561091	KC911381
J1b4a2	HQ637485	HM992836
J1b5	JX153311	
J1b5a	KC911544	
J1b5a1	JQ797777	JQ797778
J1b6	JQ797782	
J1b6a	DQ282491	JQ797781
J1b6b	KC911401	JQ797780
J1b7	KC911359	
J1b7a	JQ797784	JQ797783
J1b8	JQ064573	HQ914447
J1b9	JQ797779	HM852835
J1c	AY495206	JQ797870
J1c1	JX153672	JQ797787
J1c1a	AY495210	FJ447985
J1c1b	JQ703783	AY495202
J1c1b1	EF452293	JQ703029
J1c1b1a	FJ502349	JQ703825
J1c1b1a1	JQ703599	JQ705164
J1c1b2	JQ705141	
J1c1b2a	JQ702981	JQ702020
J1c1c	JQ704867	JQ703464
J1c1d	JX154000	JX152930
J1c1e	AY495208	NA12234
J1c1f	JQ705770	
J1c1g	JN635301	
J1c1g1	JX153741	JQ797793
J1c1h	NA20787	EF660981
J1c2	AY495218	EU155191
J1c2a1	AY495227	
J1c2a1a	AY495229	JX153394
J1c2a2	JX153382	DQ787109
J1c2a3	JQ702742	AY495220
J1c2b	JQ704554	JQ703778
J1c2b1	JQ703613	JQ704710
J1c2b2	JX153336	HM776018
J1c2b3	JQ702706	JQ701968
J1c2b4	JQ703567	JQ703672
J1c2b5	JX153700	JX153355
J1c2c	GU949564	EF177422
J1c2c1	FJ449571	JQ702499
J1c2c1a	JQ705961	GQ304746
J1c2c2	JQ702741	FJ348202
J1c2c2a	GU592019	HQ336424
J1c2c3	EF657573	
J1c2d	JQ704965	FJ499472
J1c2e	JQ797812	JQ702311
J1c2e1	GU123042	JX153716
J1c2e2	JX297168	JX401416
J1c2f	JQ704432	JQ705129
J1c2g	JQ704946	HQ260985
J1c2h	JQ705996	JQ701851
J1c2i	JQ797821	JQ797820
J1c2j	JQ797822	EU915479
J1c2k	JQ797804	JQ705224
J1c2l	AY495223	JQ704829
J1c2m	JQ797801	KC911595
J1c2m1	JQ702724	JQ702366
J1c2n	HG00377	AY339585
J1c2n1	JX153610	JX154069
J1c2o	JX152877	KC257367
J1c2p	AY495225	JQ797799
J1c2q	HG00258	AY495226
J1c2q1	JX153505	JX153326
J1c2r	FJ190383	JQ797819
J1c2s	JX153398	
J1c2s1	FJ499471	JQ703785
J1c2t	JQ705054	HG00235
J1c3	JQ702691	JQ797823
J1c3a1	AY495211	JQ702646
J1c3a2	JQ703792	AY495213
J1c3b	JQ048704	
J1c3b1	JQ705447	HQ696458
J1c3b1a	FJ445407	JQ705472
J1c3b2	HM026752	HG00103
J1c3c	NA12044	
J1c3c1	HQ709168	JQ702395
J1c3c2	JQ703602	JQ702727
J1c3d	AY495201	AY495207
J1c3e1	JQ705868	JQ703895
J1c3e2	JQ705308	NA20785
J1c3f	JQ797828	JQ701854
J1c3g	JQ705212	JF703252
J1c3h	DQ523659	JQ797837
J1c3i	JQ703753	AY495214
J1c3j	FJ603099	JQ701961
J1c3k	JQ797826	JQ702912
J1c3_A189G	HG00334	JQ702063
J1c3m	JQ797836	JX153002
J1c4	AY495197	FJ538285
J1c4b	JQ703916	GU808335
J1c4c	JQ705439	JQ705633
J1c5	HG00120	AY495199
J1c5a	JQ703803	
J1c5a1	HQ287874	JQ704736
J1c5b	JQ703604	JQ703639
J1c5c	JQ704816	
J1c5c1	JX297129	JX297126
J1c5d	HQ287873	AY495204
J1c5e	JQ797844	DQ112826
J1c5f	EF657710	
J1c6	AY495209	JQ703919
J1c6a	EU073970	JX297170
J1c_C16261T	FJ348153	JQ705489
J1c7	JQ797855	JQ703682
J1c7a	JQ703932	JQ797859
J1c_C16261T_A189G	JN415478	
J1c12	EU284668	FJ348222
J1c12a	JQ703516	JQ704581
J1c12b	JQ702088	JQ702208
J1c13	JQ703584	JQ702609
J1c14	JQ705811	JQ705891
J1c8a	JQ797868	JN635299
J1c8a1	JQ702049	JQ797866
J1c8a1a	JQ705760	KC421179
J1c8a2	GU906781	JQ797864
J1c8b	JQ705449	JQ701992
J1c9	AY495205	JQ797871
J1c10	JQ704751	EF660915
J1c10a	JQ797872	JQ797873
J1c11	JQ702967	
J1c11a	HM765470	GU592047
J1c15	JQ797881	
J1c15a	JQ797879	
J1c15a1	JQ797880	HM852793
J1c15b	JQ797877	JQ797878
J1c16	JQ705083	JQ797874
J1c17	JQ797882	
J1c17a	JQ706022	JX153275
J1_C16193T	JQ797885	
J1d	JQ797902	
J1d1a	JQ797886	
J1d1a1	JQ797888	JQ705319
J1d1a1a	JQ797890	JQ797891
J1d1b	AF382001	KC911578
J1d1b1	JQ797892	HM852780
J1d2	DQ341088	
J1d2a	HQ325739	JQ797893
J1d3	KC911411	
J1d3a	JQ797899	
J1d3a1	JQ797897	JQ797896
J1d3a2	EU597552	JQ704809
J1d4	HM453206	JQ797900
J1d5	JQ703915	HM852829
J1d5a	KC911498	JQ797901
J1d6	GU122987	JQ797894
J1d6a	JQ797895	EU007880
J2a1	JQ704041	
J2a1a1	JQ701807	JQ797903
J2a1a1a	GU903270	JX153321
J2a1a1a1	JX152974	JX153821
J2a1a1a2	FJ348157	JQ705625
J2a1a1a2a	JX152842	JX153676
J2a1a1a3	JQ703568	JQ705323
J2a1a1b	JQ705390	JQ705042
J2a1a1c	JQ703552	JQ797904
J2a1a1d	JQ797911	JQ797912
J2a1a1e	JX297144	KC533492
J2a1a2	DQ341089	
J2a1a2a	JQ797914	
J2a1a2a1	JQ764985	
J2a1a2a1a	JQ702364	JX153453
J2a2a	EF660967	
J2a2a1	JQ797915	
J2a2a1_T16311C!	JQ797921	
J2a2a1a	JQ797920	
J2a2a1a1	JQ797919	JQ797917
J2a2a2	JQ797923	GU065327
J2a2b1	FJ460543	
J2a2b1a	JQ797926	JX153096
J2a2b2	NA20752	JQ703605
J2a2b3	KF148204	KF148206
J2a2c	JQ797930	
J2a2c1	JQ797933	JQ797931
J2a2d	FJ460559	JQ797935
J2a2e	JX153004	JQ797924
J2b1	JQ702563	JQ797954
J2b1a	JX153193	JF915700
J2b1a1	JQ703580	JQ705356
J2b1a1a	FJ445408	JQ702863
J2b1a2	JN635305	JQ705677
J2b1a2a	JF938916	JQ797936
J2b1a3	JQ702858	AY195778
J2b1a4	JQ705466	JQ703515
J2b1a_T16311C!	JX153921	
J2b1a5	JQ797946	DQ523653
J2b1a6	JQ797944	JQ704523
J2b1b	JQ703784	
J2b1b1	EU862198	JX153450
J2b1c	JQ797951	JQ797952
J2b1c1	EU807741	
J2b1d	FJ445409	JQ797958
J2b1e	JQ701981	
J2b1e1	JQ797964	JQ797965
J2b1f	JQ797968	HQ727682
J2b1g	JQ702459	JQ702488
J2b1h	JQ702424	
J2b2	FJ213765	JQ797972
T1	JQ797976	
T1a	KC405582	JQ798024
T1a1	GU122980	JQ797984
T1a1a	JQ705982	
T1a1a1	JQ703032	AY495294
T1a1b	HM184912	JQ797991
T1a1b1	JQ797994	AY714036
T1a1c	JQ704801	JQ702923
T1a1d	EU007876	JQ798005
T1a1e	JX152843	JQ798006
T1a1f	JQ702643	JQ797983
T1a1g	JF833040	JQ704732
T1a1h	JN089342	JQ702680
T1a1i	JQ705441	JN021256
T1a1j	AY495291	JQ703446
T1a1k	JQ702728	
T1a1k1	JQ702959	JQ705707
T1a1k2	JX152851	JF926125
T1a1_C152T!!	JF929200	JQ702988
T1a1l	JF979131	JQ798004
T1a1m	KC911350	
T1a1m1	KC911329	JQ797998
T1a1n	EF177406	JQ702825
T1a1p	EU597578	JX153687
T1a1q	JX153590	JQ702173
T1a1r	JX153003	EF661000
T1a3	JQ798022	
T1a3a	AY495296	EF645646
T1a2	JQ798012	JN083377
T1a2a	NA20581	FJ348220
T1a2b	JQ798013	HM852775
T1a4	EU979542	JQ702040
T1a11	JQ031816	JQ798021
T1a12	JQ798020	JQ798019
T1a13	JQ798007	JQ798009
T1a5	JQ703724	JQ798030
T1a5a	JX153408	JF937680
T1a6	JN104727	EU369395
T1a7	EU935435	JQ798027
T1a8a	JQ798034	JQ798033
T1a8b	JQ798035	JQ798036
T1a9	JQ798018	JQ798017
T1a10	NA20819	
T1a10a	JX152859	JQ798025
T1b	JQ798046	JQ798051
T1b1	JQ798037	AY339570
T1b2	JQ798039	JQ798041
T1b3	JQ798043	JQ705372
T1b4	JQ798050	JQ798049
T2	JQ798138	JF707633
T2a1	JQ798058	JF927949
T2a1a	AY495298	FJ656215
T2a1a1	FJ348180	EF657455
T2a1a2	JN120787	GU553285
T2a1a3	JX297193	
T2a1a3a	AY495300	JF833041
T2a1a5	JQ705499	JQ702880
T2a1a6	JQ702036	JQ704797
T2a1a7	JQ701880	JQ045864
T2a1a8	JF958082	JQ701972
T2a1b	JQ702344	JQ798054
T2a1b1	HM625705	
T2a1b1a	JQ046361	JQ705641
T2a1b1a1	JQ702937	JQ703149
T2a1b1a1a1	JQ703868	JQ703700
T2a1b1a1a2	JX153849	JQ798055
T2a1b1a1b	JN024624	JX153319
T2a1b1a1b1	JX153732	JX153948
T2a1b1a2	JQ703776	JX153440
T2a1b2a	GU123001	JQ704821
T2a1b2b	JQ798057	JQ798056
T2a2	FJ238094	JX912164
T2a2a	JX152815	JF944823
T2a3	KC911444	KC911302
T2b	AY495273	HM055613
T2b1	EF177444	AY495267
T2b2	AY714016	JN035224
T2b2b	AY495299	GU183768
T2b2b1	JQ701832	JQ705208
T2b3	HM122274	
T2b3_C151T	HQ384203	JQ703699
T2b3a	DQ523649	
T2b3a1	JQ798060	JQ798061
T2b3c	JQ705786	JQ702932
T2b3d	JQ705037	JQ701927
T2b3e	JQ705199	JF837334
T2b3b	AY495275	JX153347
T2b4	JQ703501	JN037468
T2b4a	JF836084	GU123018
T2b4a1	JQ704738	JQ798069
T2b4i	JQ702278	JX153109
T2b4_T152C	JQ705242	JQ702464
T2b4b	JQ705939	JF900491
T2b4c	JQ704742	JQ702604
T2b4d	JQ702158	JQ703734
T2b4e	JQ798064	HM852802
T2b4f	JX152937	JQ704596
T2b4g	EF660982	JQ798068
T2b4h	JQ798066	EU007872
T2b5	JQ702978	AY495287
T2b5a	JQ703716	
T2b5a1	JQ703712	JF833039
T2b6	AY495284	
T2b6a	JQ705494	AY495282
T2b6_T146C!	JQ705357	
T2b6b	JF891418	JQ705972
T2b7	GU170817	
T2b7a1	JQ703294	JQ702544
T2b7a2	JQ704997	JQ704643
T2b7a3	NA20507	JQ798079
T2b8	GU122998	
T2b_C150T	JQ702965	
T2b9	JQ703011	JQ702737
T2b11	JF968593	JQ798085
T2b13	JQ701982	JQ702963
T2b13a	JN038393	JQ702084
T2b13b	JQ703042	JQ705492
T2b15	JF975728	EU682394
T2b_T16362C	JN004272	JN106183
T2b16	GU123025	JQ798077
T2b17	JF957699	
T2b17a	AY495280	JX153685
T2b19	JQ705664	EU744542
T2b19b	HG00141	JQ703009
T2b_T152C!	EU747356	
T2b21	HQ917079	
T2b21a	JQ705895	JF340114
T2b21b	JQ702492	JQ705338
T2b22	HQ840646	JQ703263
T2b23	JQ798075	JQ798074
T2b23a	FJ348208	JQ704788
T2b24	JQ705038	
T2b24a	JF946696	JQ702547
T2b25	JQ704697	JQ705882
T2b26	JQ702312	JQ702953
T2b27	JQ705444	AY495271
T2b28	JQ701939	JQ704973
T2b29	JQ798081	JQ798080
T2b30	JN024625	HQ399469
T2b31	JQ703715	JQ798089
T2b32	KC521456	JQ703728
T2b33	KC533521	JQ705484
T2b34	EU926622	KC911423
T2b35	JX153427	JN126047
T2b36	JX153715	JX153237
T2b37	JQ701867	JX153053
T2c	JQ798090	
T2c1a	JQ796696	
T2c1a1	JQ703030	EF556160
T2c1a2	EF660941	JQ701934
T2c1a3	JN202494	KC911377
T2c1c	JQ798103	JQ798101
T2c1c1	JQ798099	JQ798100
T2c1c2	JQ702795	JQ798102
T2c1_T146C!	JQ798091	
T2c1d1	JQ704020	KC911358
T2c1d1a	JN580589	JX153536
T2c1d_T152C	JQ798094	JF833037
T2c1d2	JQ798096	
T2c1d2a	DQ523629	JQ798095
T2c1e	JQ703823	JQ705571
T2c1f	GU048747	JQ798097
T2d1a	AY714037	JQ798104
T2d1b1	JQ798105	JQ798106
T2d1b2	KC911414	HM765473
T2d2	JQ798108	NA20770
T2e	EF177410	JQ703777
T2e1	JQ798113	
T2e1a	JQ705465	
T2e1a1a	KF577587	KF657641
T2e1a1b	AF381985	
